tiempos1,km/h1
2165.8571,16.37
2168.2915,16.45
2170.6903,16.47
2173.7844,10.97
2177.0588,16.44
2179.9924,16.45
2183.7244,16.47
2186.4704,22.12
2188.4776,22.72
2191.5766,27.41
2194.4791,30.80
2196.2139,32.30
2198.6780,34.18
2200.5997,38.57
2202.2710,38.43
2204.1741,41.35
2207.0004,42.06
2209.1709,38.38
2210.7733,41.46
2212.5993,38.38
2214.3853,38.38
2216.4213,42.44
2219.2877,43.87
2221.5007,49.36
2222.5997,44.16
2223.6273,38.30
2225.6401,41.75
2228.9518,35.51
2230.1706,38.42
2232.6421,38.38
2234.4134,38.38
2236.4850,38.30
2238.3133,38.40
2240.4993,38.42
2242.3139,38.37
2244.3994,38.47
2246.5834,34.17
2247.9988,32.90
2250.3962,28.02
2252.5628,25.32
2254.5456,22.53
2256.7692,22.07
2260.5580,16.45
2263.3100,19.84
2265.8716,21.84
2267.7774,27.60
2270.4318,32.83
2273.4415,37.80
2276.2664,32.26
2277.9425,29.25
2280.5116,25.79
2282.0348,22.67
2284.0874,10.32
2293.4580,17.04
2299.0580,16.45
2301.6585,16.45
2305.2201,21.93
2308.3204,21.93
2310.3952,21.93
2312.8190,21.96
2315.5249,16.45
2318.6706,21.48
2321.1704,21.93
2324.5949,21.93
2327.1958,27.48
2330.5025,26.28
2333.0695,21.74
2336.5449,22.00
2339.5903,13.04
2349.6859,11.15
2354.0876,10.78
2357.1256,16.60
2359.3924,16.45
2364.2436,12.99
2371.0249,16.45
2374.9701,21.93
2377.1695,21.93
2379.6970,26.82
2382.3866,30.43
2385.5771,27.41
2387.9874,30.98
2389.8481,32.90
2391.9768,27.41
2396.0967,27.97
2398.3173,31.78
2400.3164,32.51
2402.4653,32.89
2406.0044,29.23
2408.7992,34.17
2410.3857,37.80
2412.8034,40.65
2414.3141,38.83
2417.2851,37.82
2419.7708,38.36
2421.8922,37.33
2423.8012,38.36
2425.5644,36.11
2429.1128,43.86
2430.9113,49.41
2433.2967,46.79
2435.3029,46.11
2438.2447,45.93
2439.4124,43.87
2441.5494,40.06
2442.8303,42.01
2445.5421,38.40
2447.9849,38.37
2449.9566,38.38
2451.2151,32.90
2453.6654,32.90
2455.2487,32.90
2457.9819,32.87
2459.7746,24.04
2464.6858,10.91
2468.0148,6.78
2469.6656,5.47
2482.5853,10.97
2486.1375,10.92
2488.7731,18.72
2490.6971,27.60
2492.9254,33.40
2495.1614,29.33
2498.0657,32.97
2500.0854,38.57
2504.1152,32.90
2507.0886,29.07
2509.6590,28.91
2512.2988,29.40
2514.7857,31.61
2516.6971,27.41
2519.5972,27.40
2521.1972,27.40
2523.6570,27.41
2526.3971,27.41
2528.1368,27.58
2531.5864,25.07
2534.9437,23.16
2537.6370,27.41
2540.8977,27.38
2542.4960,28.01
2544.1805,30.68
2546.4307,27.95
2547.9766,27.86
2550.2951,21.94
2552.3019,20.81
2555.3775,26.81
2559.3426,32.40
2562.2819,33.05
2563.6461,29.00
2565.1849,29.69
2569.1482,32.90
2571.7156,33.54
2573.8818,32.90
2576.9367,27.47
2579.1699,21.93
2582.1177,18.90
2585.4291,11.92
2590.4853,10.97
2594.6643,5.48
2598.6237,15.86
2601.1507,18.55
2603.2248,22.02
2605.1792,30.79
2607.3486,32.90
2610.5292,29.68
2612.6031,30.27
2614.9081,29.54
2617.7151,32.90
2619.5649,32.90
2621.1981,32.90
2622.7322,33.49
2624.9944,35.75
2627.4316,32.90
2628.8816,32.87
2630.6029,31.62
2633.1971,24.04
2636.3904,16.38
2640.2843,20.00
2643.6661,18.73
2645.0595,16.00
2648.5350,10.97
2651.8935,15.85
2655.5766,13.17
2658.3350,10.97
2661.2247,16.45
2664.0368,19.83
2666.8952,21.93
2669.9570,27.86
2671.9175,27.60
2674.1969,27.36
2676.2376,27.34
2679.0771,27.44
2680.6985,32.95
2683.1149,32.90
2685.4317,32.90
2687.1319,32.91
2688.7774,27.36
2691.4976,27.90
2692.4164,27.49
2694.7573,27.40
